,0
ERICKSON_PACING_AND_VALIDATION,0.014565055101381248
ERICKSON_INDIRECT_SUGGESTION,0.011329243628244891
ERICKSON_UTILIZATION_REFRAMING,0.010770728980276839
ERICKSON_REFRAMING_UTILIZATION,0.010397112829245377
ERICKSON_CONSCIOUS_UNCONSCIOUS_DISSOCIATION,0.009656313739466654
ERICKSON_YES_SET_PACING,0.008224771856262292
ERICKSON_PERMISSIVE_SUGGESTION,0.007936520511433795
ERICKSON_UTILIZATION_TRUISM,0.007769904021766309
ERICKSON_DOUBLE_BIND,0.007199932022953768
ERICKSON_TRUISM_PACING,0.006577174764279449
ERICKSON_UTILIZATION,0.0063187216266554136
ERICKSON_PRESUPPOSITION,0.006003298608130388
ERICKSON_UTILIZATION_REFRAME,0.00557653506819546
ERICKSON_REFRAMING,0.005550044849343582
ERICKSON_UTILIZATION_PACING,0.005279878117625727
ERICKSON_TRUISM_UTILIZATION,0.004979894482323699
ERICKSON_UTILIZATION_RESISTANCE,0.004451120955004537
ERICKSON_TRUISM,0.004242688395279996
ERICKSON_PACING_AND_LEADING,0.004109566771881739
ERICKSON_MINIMAL_ENCOURAGER,0.00394053171759529
ERICKSON_PACING_TRUISM,0.003939480860706446
ERICKSON_UTILIZATION_PARADOX,0.0035195485105957627
ERICKSON_MINIMAL_CUE,0.0035125522765666914
ERICKSON_ILLUSION_OF_CHOICE,0.003370608993150274
ERICKSON_INTERROGATIVE_SUGGESTION,0.003270889222860667
ERICKSON_CONFUSION_TECHNIQUE,0.0030720594468806833
ERICKSON_OPEN_INQUIRY,0.0029464707777659754
ERICKSON_POST_HYPNOTIC_SUGGESTION,0.0029397912970840602
ERICKSON_DIRECT_SUGGESTION,0.002787954719450474
ERICKSON_PACING_LEADING,0.002781939139721945
ERICKSON_PATTERN_INTERRUPTION,0.0026592172746651246
ERICKSON_UTILIZATION_STRATEGY,0.002658362479997626
ERICKSON_PATTERN_INTERRUPT,0.002644350291374232
ERICKSON_TIME_DISTORTION,0.002506237799436714
ERICKSON_UTILIZATION_DISSOCIATION,0.002496818530005007
ERICKSON_UTILIZATION_METAPHOR,0.0024914463620783005
ERICKSON_INDIRECT_INQUIRY,0.002490655390500653
ERICKSON_ANECDOTE_UTILIZATION,0.0023631001351440105
ERICKSON_PRESUPPOSITION_UTILIZATION,0.002362987032137116
ERICKSON_DOUBLE_BIND_UTILIZATION,0.0023445624998911473
ERICKSON_IDEOMOTOR_DISSOCIATION,0.002343166900639673
ERICKSON_TRUISM_YES_SET,0.0023403382201887396
ERICKSON_NEGATIVE_SUGGESTION,0.0021979004604054625
ERICKSON_TRUISM_PRESUPPOSITION,0.002195358260690311
ERICKSON_UTILIZATION_INQUIRY,0.0020599048324105042
ERICKSON_UTILIZATION_OBSERVATION,0.0020514002038486486
ERICKSON_DIRECT_INQUIRY,0.0019261996883513217
ERICKSON_ANALOGY_UTILIZATION,0.001916112038204243
ERICKSON_PERMISSIVE_INQUIRY,0.0019131721627796154
ERICKSON_TRUISM_REFRAMING,0.0019107495407541045
ERICKSON_DIRECT_CHALLENGE,0.0019070558957649123
ERICKSON_UTILIZATION_PRESUPPOSITION,0.0019070545803649113
ERICKSON_UTILIZATION_OF_RESISTANCE,0.0019065576149275504
ERICKSON_UTILIZATION_VALIDATION,0.0019021253557193077
ERICKSON_UTILIZATION_PRINCIPLE,0.0019012457214608578
ERICKSON_DISSOCIATION,0.001900097257875762
ERICKSON_STRATEGIC_INTERVENTION,0.0018581054687149385
ERICKSON_AMNESIA_UTILIZATION,0.0017915846484773724
ERICKSON_REFRAMING_TRUISM,0.0017610391683793743
ERICKSON_INDIRECT_INDUCTION,0.0017582240119117696
ERICKSON_TRUISM_TAG_QUESTION,0.0017570845760140233
ERICKSON_TRUISM_VALIDATION,0.001753039962248149
